id,category,tier,points,question,option_a,option_b,option_c,option_d,correct_index,correct_answer
travel-6-7,travel,6,600,"ما اسم أقدم فندق في العالم ما زال يعمل؟","فندق نيشياما أونسن كيئونكان - اليابان","فندق ريتز لندن","فندق پلازا نيويورك","فندق رافلز سنغافورة",0,"فندق نيشياما أونسن كيئونكان - اليابان"
travel-6-8,travel,6,600,"كم عدد مواقع التراث العالمي لليونسكو في الدول العربية تقريباً؟","30","50","70","90",1,"50"
family-4-7,family,4,400,"في أي عمر تقريباً يبدأ الطفل بالكلام بجمل كاملة؟","12 شهراً","18 شهراً","24-30 شهراً","36 شهراً",2,"24-30 شهراً"
family-4-8,family,4,400,"كم عدد الكروموسومات في خلايا الإنسان؟","23","44","46","48",2,"46"
family-5-7,family,5,500,"ما هي معدل الخصوبة اللازم للحفاظ على عدد السكان؟","1.5 طفل","2.0 طفل","2.1 طفل","3.0 طفل",2,"2.1 طفل"
family-5-8,family,5,500,"من طور نظرية هرم الاحتياجات الإنسانية؟","فرويد","يونغ","ماسلو","بياجيه",2,"ماسلو"
family-6-7,family,6,600,"كم مرحلة في نظرية النمو المعرفي عند بياجيه؟","2","3","4","5",2,"4"
family-6-8,family,6,600,"ما اسم هرمون الارتباط العاطفي الذي يُفرز عند الأم أثناء الرضاعة؟","الإستروجين","الأوكسيتوسين","الدوبامين","السيروتونين",1,"الأوكسيتوسين"
kuwait_history-1-1,kuwait_history,1,100,"في أي سنة نالت الكويت استقلالها؟","1952","1961","1971","1981",1,"1961"
kuwait_history-1-2,kuwait_history,1,100,"ما هي عاصمة الكويت؟","الفحيحيل","الجهراء","مدينة الكويت","حولي",2,"مدينة الكويت"
kuwait_history-2-1,kuwait_history,2,200,"من هو مؤسس إمارة الكويت؟","الشيخ جابر","الشيخ صباح الأول","الشيخ مبارك","الشيخ أحمد",1,"الشيخ صباح الأول"
kuwait_history-2-2,kuwait_history,2,200,"في أي عام اكتُشف النفط في الكويت؟","1928","1934","1938","1946",2,"1938"
kuwait_history-3-1,kuwait_history,3,300,"في أي عام صدر الدستور الكويتي؟","1959","1962","1965","1968",1,"1962"
kuwait_history-3-2,kuwait_history,3,300,"ما اسم أول مجلس أمة كويتي؟","المجلس الوطني","المجلس التشريعي","مجلس الأمة","المجلس الاستشاري",2,"مجلس الأمة"
kuwait_history-4-1,kuwait_history,4,400,"في أي تاريخ غزا صدام حسين الكويت؟","أغسطس 1989","أغسطس 1990","يناير 1991","فبراير 1991",1,"أغسطس 1990"
kuwait_history-4-2,kuwait_history,4,400,"ما اسم العملية العسكرية التي حررت الكويت؟","عاصفة الصحراء","درع الصحراء","السيف","الفجر",0,"عاصفة الصحراء"
kuwait_history-5-1,kuwait_history,5,500,"كم يوماً دامت الحرب لتحرير الكويت براً؟","50","100","4","7",2,"4"
kuwait_history-5-2,kuwait_history,5,500,"من هو أمير الكويت الذي قاد البلاد وقت الغزو؟","الشيخ جابر الأحمد","الشيخ صباح الأحمد","الشيخ سعد العبدالله","الشيخ صباح السالم",0,"الشيخ جابر الأحمد"
kuwait_history-6-1,kuwait_history,6,600,"كم عدد المقاعد في مجلس الأمة الكويتي؟","40","50","60","65",1,"50"
kuwait_history-6-2,kuwait_history,6,600,"في أي عام أُنشئت شركة نفط الكويت؟","1934","1946","1960","1938",0,"1934"
kuwait_dialect-1-1,kuwait_dialect,1,100,"ماذا تعني كلمة ""شلونك"" بالعربي الفصيح؟","وين أنت","كيف حالك","شو اسمك","وين تروح",1,"كيف حالك"
kuwait_dialect-1-2,kuwait_dialect,1,100,"ماذا يعني ""يهال"" بالكويتي؟","رجال","أطفال","نساء","شباب",1,"أطفال"
kuwait_dialect-2-1,kuwait_dialect,2,200,"ماذا يعني ""وايد"" بالكويتي؟","قليل","واحد","كثير","بعيد",2,"كثير"
kuwait_dialect-2-2,kuwait_dialect,2,200,"ما معنى ""كشته""؟","شجار","أكل","رحلة برية","نوم",2,"رحلة برية"
kuwait_dialect-3-1,kuwait_dialect,3,300,"ما معنى ""سالفة""؟","مشكلة","قصة أو حكاية","سفرة","وليمة",1,"قصة أو حكاية"
kuwait_dialect-3-2,kuwait_dialect,3,300,"ماذا تعني ""بعدين""؟","قبل","الآن","بعداً / لاحقاً","هنا",2,"بعداً / لاحقاً"
kuwait_dialect-4-1,kuwait_dialect,4,400,"ما معنى ""هوشة""؟","فرحة","مشكلة أو شجار","أكلة","لعبة",1,"مشكلة أو شجار"
kuwait_dialect-4-2,kuwait_dialect,4,400,"ماذا يعني ""عيشه"" كتعبير إيجابي؟","تعبان","رائع وحلو","قديم","غريب",1,"رائع وحلو"
kuwait_dialect-5-1,kuwait_dialect,5,500,"ما معنى ""أشوقك""؟","أكرهك","أفتقدك","أراك","أخاف منك",1,"أفتقدك"
kuwait_dialect-5-2,kuwait_dialect,5,500,"ما الكلمة الكويتية لـ""الآن هنا""؟","الحين","اللحين","بعدين","هنيه",0,"الحين"
kuwait_dialect-6-1,kuwait_dialect,6,600,"ماذا يعني ""خبل"" بالكويتي؟","شجاع","ذكي","مجنون أو متهور","بخيل",2,"مجنون أو متهور"
kuwait_dialect-6-2,kuwait_dialect,6,600,"ما معنى ""مدري""؟","أعرف","لا أعرف","أفهم","أشوف",1,"لا أعرف"
gcc_football-1-1,gcc_football,1,100,"كم مرة فاز منتخب الكويت بكأس الخليج؟","1","2","3","4",1,"2"
gcc_football-1-2,gcc_football,1,100,"أي دولة خليجية شاركت في كأس العالم 2022 في قطر؟","السعودية فقط","قطر فقط","السعودية وقطر والإمارات","السعودية وقطر",3,"السعودية وقطر"
gcc_football-2-1,gcc_football,2,200,"ما اسم بطولة كأس دول الخليج العربي بشكل رسمي؟","كأس الخليج","خليجي","كأس العرب","الخليج المتحد",0,"كأس الخليج"
gcc_football-2-2,gcc_football,2,200,"كم نسخة من كأس خليجي أقيمت حتى الآن تقريباً؟","15","20","26","30",2,"26"
gcc_football-3-1,gcc_football,3,300,"ما اسم الملعب الرئيسي في الكويت؟","ملعب عبدالله الصالم","ملعب جابر الدولي","ملعب الشيخ جابر","ملعب النفط",1,"ملعب جابر الدولي"
gcc_football-3-2,gcc_football,3,300,"أين أقيمت خليجي 25 عام 2023؟","الكويت","البصرة العراق","المنامة","الدوحة",1,"البصرة العراق"
gcc_football-4-1,gcc_football,4,400,"من هو أسطورة الكرة الكويتية الملقّب بـ""صاروخ الخليج""؟","جاسم يعقوب","فيصل الدخيل","باسم مرزوق","علي محمد",0,"جاسم يعقوب"
gcc_football-4-2,gcc_football,4,400,"ما أول كأس عالم شاركت فيه الكويت؟","1974","1978","1982","1986",2,"1982"
gcc_football-5-1,gcc_football,5,500,"ضد من لعبت الكويت في كأس العالم 1982؟","إيطاليا وتشيكوسلوفاكيا ويوغوسلافيا","البرازيل والأرجنتين وفرنسا","إسبانيا وهولندا وألمانيا","إنجلترا وبلجيكا وبولندا",0,"إيطاليا وتشيكوسلوفاكيا ويوغوسلافيا"
gcc_football-5-2,gcc_football,5,500,"من سجّل هدف الكويت الوحيد في كأس العالم 1982؟","جاسم يعقوب","فيصل الدخيل","باسم مرزوق","خليل بدير",1,"فيصل الدخيل"
gcc_football-6-1,gcc_football,6,600,"في أي عام أُسس الاتحاد الكويتي لكرة القدم؟","1952","1959","1966","1970",0,"1952"
gcc_football-6-2,gcc_football,6,600,"كم هدفاً سجّل منتخب الكويت في كأس العالم 1982؟","0","1","2","3",1,"1"
diwaniya-1-1,diwaniya,1,100,"ما هي الديوانية؟","مطعم شعبي","مجلس اجتماعي خاص","سوق تقليدي","ملعب رياضي",1,"مجلس اجتماعي خاص"
diwaniya-1-2,diwaniya,1,100,"في أي يوم تُقام معظم الديوانيات الكويتية عادة؟","الجمعة فقط","الاثنين والخميس","الثلاثاء والأربعاء","يومياً",1,"الاثنين والخميس"
diwaniya-2-1,diwaniya,2,200,"ما المشروب الأساسي الذي يُقدَّم في الديوانية؟","الشاي فقط","القهوة العربية","العصير","الحليب",1,"القهوة العربية"
diwaniya-2-2,diwaniya,2,200,"ماذا يُسمى الرداء الخليجي الطويل الذي يرتديه الرجال؟","جلابية","دشداشة","قفطان","عباءة",1,"دشداشة"
diwaniya-3-1,diwaniya,3,300,"ما معنى ""دلة"" في الثقافة الخليجية؟","السيف التقليدي","إناء القهوة العربية","الطبلة","لباس العروس",1,"إناء القهوة العربية"
diwaniya-3-2,diwaniya,3,300,"ما اسم رياضة الصيد بالطيور التقليدية في الخليج؟","الفروسية","القنص","الصقارة","الهوارة",2,"الصقارة"
diwaniya-4-1,diwaniya,4,400,"ما اسم الرياضة البحرية التقليدية التي اشتُهرت بها الكويت قديماً؟","صيد الأسماك","الغوص على اللؤلؤ","قوارب الشراع","صيد السلاحف",1,"الغوص على اللؤلؤ"
diwaniya-4-2,diwaniya,4,400,"ما اسم الفن الشعبي الغنائي الخليجي المرتبط بالبحر؟","الفجري","الليوا","السامري","الخماري",0,"الفجري"
diwaniya-5-1,diwaniya,5,500,"من هو ناصر المسرح الكويتي؟","علي المفيدي","سعد الفرج","عبدالحسين عبدالرضا","محمد المنصور",2,"عبدالحسين عبدالرضا"
diwaniya-5-2,diwaniya,5,500,"ما اسم أقدم سوق شعبي في الكويت؟","سوق المباركية","سوق الخضار","سوق الذهب","سوق الجمعة",0,"سوق المباركية"
diwaniya-6-1,diwaniya,6,600,"في أي عام أُضيفت الديوانية لقائمة التراث غير المادي لليونسكو؟","2010","2015","2019","2022",2,"2019"
diwaniya-6-2,diwaniya,6,600,"ما اسم الشاعر الكويتي الشعبي الملقّب بـ""شاعر الخليج""؟","فهد عسكر","عبدالله الفرج","خالد الفرج","محمد الفايز",2,"خالد الفرج"
kuwait_food-1-1,kuwait_food,1,100,"ما هو الطبق الكويتي الرئيسي المكوّن من الأرز والسمك؟","المجبوس","المفطوح","الهريس","الباجلة",0,"المجبوس"
kuwait_food-1-2,kuwait_food,1,100,"ما اسم الحلوى الكويتية المصنوعة من الدقيق والتمر؟","البلاليط","الجريش","الغريبة","المحلبية",2,"الغريبة"
kuwait_food-2-1,kuwait_food,2,200,"ما هو المشروب الخليجي الشهير الحامض؟","الدراق","اللوزينة","الليمي","السكنجبين",2,"الليمي"
kuwait_food-2-2,kuwait_food,2,200,"ما اسم الأكلة الكويتية الشعبية المصنوعة من الباجلة؟","باجلة بالزبدة","مطبق","هريسة","مرقوق",0,"باجلة بالزبدة"
kuwait_food-3-1,kuwait_food,3,300,"ما هو الطبق الكويتي الاحتفالي الشهير في رمضان والأعراس؟","الغزي","الهريس","الكوزي","المندي",1,"الهريس"
kuwait_food-3-2,kuwait_food,3,300,"ما اسم التمر الكويتي الشهير والمتميّز؟","المجدول","الزاهدي","خلاص الكويت","الخنيزي",2,"خلاص الكويت"
kuwait_food-4-1,kuwait_food,4,400,"ما اسم الخبز الكويتي التقليدي المصنوع في التنور؟","الخبز المصري","الرقاق","البراز","الخمير",1,"الرقاق"
kuwait_food-4-2,kuwait_food,4,400,"ما هو التوابل الأساسية في المجبوس؟","الكمون والكركم فقط","البزار والزعفران والورد","الفلفل والملح فقط","الهيل والقرفة فقط",1,"البزار والزعفران والورد"
kuwait_food-5-1,kuwait_food,5,500,"ما المكوّن الرئيسي في طبق ""المطبق"" الكويتي؟","السمك","اللحم أو البيض","الدجاج","الجبن",1,"اللحم أو البيض"
kuwait_food-5-2,kuwait_food,5,500,"ما اسم المشروب الكويتي التقليدي البارد المصنوع من الزبيب؟","عرق السوس","قمر الدين","خشاف","السواف",2,"خشاف"
kuwait_food-6-2,kuwait_food,6,600,"من هو الطاهي الكويتي المشهور عالمياً بمطابخه في الكويت؟","وليد الطبيخي","ناصر الصقعبي","فهد الحمد","بدر الدوسري",1,"ناصر الصقعبي"
kuwait_food-6-1,kuwait_food,6,600,"ما اسم الأكلة المصنوعة من الرز المطبوخ باللحم في التنور الكويتية القديمة؟","الكبسة","المعروب","الغزي","العيش الحمر",2,"الغزي"
kuwait_celebs-1-1,kuwait_celebs,1,100,"من هو أشهر فنان كوميدي كويتي وأحد رواد المسرح الكويتي؟","طارق العلي","داوود حسين","عبدالحسين عبدالرضا","أحمد السلمان",2,"عبدالحسين عبدالرضا"
kuwait_celebs-1-2,kuwait_celebs,1,100,"ما اسم المطرب الكويتي صاحب أغنية ""بساطة""؟","ناصر الفراعنة","عبدالله الرويشد","نوال الكويتية","عبدالله البريكي",1,"عبدالله الرويشد"
kuwait_celebs-2-1,kuwait_celebs,2,200,"من هي أشهر مطربة كويتية في الثمانينيات والتسعينيات؟","أصيل أبو بكر","نوال الكويتية","إيمان","نجوى كرم",1,"نوال الكويتية"
kuwait_celebs-2-2,kuwait_celebs,2,200,"ما اسم الكاتب الكويتي الشهير صاحب كتاب ""يا مال الشام""؟","إسماعيل فهد إسماعيل","سعد الدوسري","خالد النجار","طلال سعيد",0,"إسماعيل فهد إسماعيل"
kuwait_celebs-3-1,kuwait_celebs,3,300,"أي كويتي فاز بلقب ""ملك العود""؟","عبدالله الرويشد","عبدالكريم عبدالقادر","شادي الخليج","فهد بكر",1,"عبدالكريم عبدالقادر"
kuwait_celebs-3-2,kuwait_celebs,3,300,"من هو الكاتب الكويتي الذي رسم شخصية ""بوذياب""؟","محمد الشارخ","بكر الشعب","حمد البلوشي","خالد الحصين",0,"محمد الشارخ"
kuwait_celebs-4-1,kuwait_celebs,4,400,"من هو رجل الأعمال الكويتي مؤسس مجموعة زين للاتصالات؟","الشيخ سعود العبدالله","صالح الراشد","ناصر المرزوق","محمد الخليفة",0,"الشيخ سعود العبدالله"
kuwait_celebs-4-2,kuwait_celebs,4,400,"من هي أول امرأة كويتية تترشح للانتخابات البرلمانية؟","معصومة المبارك","أسيل العوضي","سلوى الجسار","هيا الرجيب",0,"معصومة المبارك"
kuwait_celebs-5-1,kuwait_celebs,5,500,"من هو الاقتصادي الكويتي المعروف ومستشار الأمم المتحدة؟","يعقوب يوسف","أنور الشيخ","علي الصريف","حمزة الزيد",0,"يعقوب يوسف"
kuwait_celebs-5-2,kuwait_celebs,5,500,"ما اسم الروائي الكويتي الفائز بجائزة عربية أدبية رفيعة؟","إسماعيل فهد إسماعيل","طالب الرفاعي","عبدالله الناصر","سعد محيو",1,"طالب الرفاعي"
kuwait_celebs-6-1,kuwait_celebs,6,600,"من هو أول كويتي يفوز بمقعد في رواد الفضاء؟","سالم الزهراني","علي القحطاني","شيخة الحمدان","اليعقوب",2,"شيخة الحمدان"
kuwait_celebs-6-2,kuwait_celebs,6,600,"ما اسم رئيس الاتحاد الكويتي لكرة القدم الأطول خدمةً؟","أحمد اليوسف","نواف الموسى","محمد الصالح","علي الخليفة",0,"أحمد اليوسف"
